facility_id,name,operator,facility_category,landuse,industrial,man_made,power,building,source,longitude,latitude,total_events,active_days,avg_events_per_month,median_events_per_month,active_months,events_per_30_days,mean_frp_mw,median_frp_mw,max_frp_mw,min_frp_mw,mean_thermal_intensity,max_thermal_intensity,most_active_hour,most_active_month,day_events,night_events,weekday_events,weekend_events,mean_distance_km,median_distance_km,max_distance_km,mean_spatial_extent_km,max_spatial_extent_km,mean_duration_hours,median_duration_hours,max_duration_hours,mean_detection_count,median_detection_count,max_detection_count,mean_satellite_count,max_satellite_count,historical_event_observations
928454763,,,INDUSTRIAL_AREA,industrial,,,,,,77.514166,28.677953,1,1,1.0,1.0,1,0.0821917808219178,1.23,1.23,1.23,1.23,12.3,12.3,8,2025-11,1,0,0,1,3.2161536,3.2161536,3.2161536,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
928527387,village bekhi - brick klin,,FACTORY,,,works,,,,75.944298,30.708667,60,32,12.0,3.0,5,4.931506849315069,5.80190834,4.925000000000001,25.85,0.71,46.69155032333333,258.5,7,2026-05,60,0,39,21,3.04495326,3.2225462,4.739341,0.1912583975833333,1.6268678,0.09805555325,0.0,1.6666666,1.5166666666666666,1.0,5,1.05,2,60
929145680,,,INDUSTRIAL_AREA,industrial,,,,,MaxarPremium,83.702698,21.359849,40,29,8.0,1.0,5,3.287671232876712,4.321708355,3.585,13.37,1.51,34.0318751625,108.99999,7,2026-01,40,0,28,12,2.336122016,2.5277368,4.174155,0.2003586185,1.3363837,0.1054166642,0.0,1.6833333,1.4,1.0,3,1.05,2,40
929338022,,,INDUSTRIAL_AREA,industrial,,,,,,91.354796,23.885639,2,2,1.0,1.0,2,0.1643835616438356,1.38,1.38,2.42,0.34,13.8,24.2,7,2026-01,1,1,2,0,1.609034,1.609034,2.3866906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
929338023,,,INDUSTRIAL_AREA,industrial,,,,,,91.35471,23.890922,1,1,1.0,1.0,1,0.0821917808219178,2.14,2.14,2.14,2.14,21.400002,21.400002,6,2026-02,1,0,0,1,3.1393614,3.1393614,3.1393614,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
929338024,,,INDUSTRIAL_AREA,industrial,,,,,,91.366428,23.891192,1,1,1.0,1.0,1,0.0821917808219178,3.81,3.81,3.81,3.81,38.1,38.1,7,2026-02,1,0,0,1,0.27080122,0.27080122,0.27080122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
929380982,Chiplima Hydro Electric Project,Odisha Hydro Power Corporation (OHPC),INDUSTRIAL_AREA,industrial,,,,,,83.915995,21.352708,24,19,6.0,4.5,4,1.9726027397260273,3.868055583333333,3.73,8.21,1.48,33.54859041666666,65.4,7,2025-12,24,0,13,11,3.4780191125,3.831105,4.979869,0.08072932375,0.61265445,0.1069444458333333,0.0,0.8666667,1.2083333333333333,1.0,3,1.125,2,24
930407213,,,QUARRY,quarry,,,,,,79.838646,24.815476,5,5,2.5,2.5,2,0.410958904109589,3.3020000000000005,2.23,7.08,1.04,31.1202598,70.799995,20,2026-05,2,3,3,2,2.679585288,2.9738739,3.4283862,0.074268186,0.37134093,0.0,0.0,0.0,1.2,1.0,2,1.0,1,5
931331932,,,QUARRY,quarry,,,,,,77.190527,9.713236,6,6,1.5,1.0,4,0.4931506849315068,5.741666666666667,6.965,11.54,1.46,51.97558745,77.0,8,2026-03,5,1,5,1,3.69021605,3.9116896,4.7152524,0.1351695466666666,0.62026507,0.2777777666666667,0.0,0.8333333,1.5,1.0,3,1.3333333333333333,2,6
931428667,,,INDUSTRIAL_AREA,industrial,,,,,,70.930282,22.384597,1,1,1.0,1.0,1,0.0821917808219178,2.93,2.93,3.94,2.93,11.052416,11.052416,8,2026-04,1,0,1,0,0.9535,0.9535,0.9535,0.43020085,0.43020085,0.0,0.0,0.0,2.0,2.0,2,1.0,1,1
933081901,,,STORAGE_FACILITY,,,storage_tank,,yes,,75.860907,31.950919,3,3,3.0,3.0,1,0.2465753424657534,3.323333333333333,2.97,5.56,1.44,27.367407,55.6,7,2026-06,2,1,3,0,3.8065689,4.3862424,4.488412,0.1302730233333333,0.39081907,0.0,0.0,0.0,1.3333333333333333,1.0,2,1.0,1,3
933246003,,,POWER_PLANT,,,,plant,industrial,,79.385172,30.290634,23,15,5.75,3.0,4,1.8904109589041098,4.340178286956522,2.28,14.86,0.8,32.358120560869565,148.59999,20,2026-05,11,12,18,5,2.671121856521739,2.490456,4.794707,0.5954515100000001,2.5358164,0.4710144860869565,0.0,1.6833333,3.652173913043478,2.0,13,1.4782608695652173,2,23
933875219,,,INDUSTRIAL_AREA,industrial,,,,,,71.493585,22.515763,1,1,1.0,1.0,1,0.0821917808219178,2.27,2.27,2.27,2.27,22.699999,22.699999,7,2026-03,1,0,0,1,1.9328774,1.9328774,1.9328774,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
934335306,,,INDUSTRIAL_AREA,industrial,,,,,,71.145453,22.416317,4,4,1.3333333333333333,1.0,3,0.3287671232876712,5.305,4.83,8.63,2.93,53.05000025,86.3,8,2026-03,4,0,3,1,2.2667129875,2.12974145,3.9399538,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,4
934482113,,,INDUSTRIAL_AREA,industrial,,,,,MaxarPremium,83.562617,21.08491,10,9,5.0,5.0,2,0.821917808219178,2.648,2.2,6.18,1.13,26.4800002,61.8,7,2025-12,10,0,7,3,1.625136934,1.4012552500000002,3.1164525,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,10
